wind_speed,swr,Kw,a_seiche,par_id
7.3291,5.9613,2.846,0.0072017,p0225
3.2392,4.2642,6.1117,0.0042796,p0226
6.5529,2.6876,6.7532,0.0094019,p0227
1.5053,1.3879,3.1998,0.0060894,p0228
5.2524,9.695,5.6949,0.00027163,p0229
4.7117,6.8569,9.4253,0.0041971,p0230
6.5397,1.2609,4.1594,0.001392,p0231
6.4949,3.5715,6.0755,0.0034614,p0232
1.9398,2.4299,5.9146,0.00096121,p0233
8.5023,1.4403,2.6487,0.00029989,p0234
9.23,5.6368,0.5439,0.009092,p0235
6.014,8.551,6.4596,0.0037338,p0236
7.1503,5.7527,8.8636,0.0092851,p0237
9.3732,9.318,3.9938,0.0055594,p0238
8.7774,0.95763,9.9466,0.0029945,p0239
8.5649,4.3143,1.7657,0.00045107,p0240
6.8532,1.1772,1.972,0.0059687,p0241
0.15584,9.9529,3.7082,0.0085397,p0242
7.696,1.1592,1.6362,0.0013296,p0243
9.6998,6.4679,9.5147,0.0080077,p0244
5.118,7.0134,7.8612,0.0091168,p0245
1.5678,3.0992,5.8705,0.0034815,p0246
3.2176,5.1935,3.5985,0.0038046,p0247
1.0944,1.7798,1.7204,0.0080349,p0248
3.833,9.7224,7.8883,0.0026673,p0249
6.346,0.20072,3.3037,0.0016878,p0250
2.7994,2.7352,7.0834,0.0026783,p0251
6.4027,5.3906,5.5276,0.0074872,p0252
1.6853,2.295,3.32,0.0018404,p0253
9.0816,5.3561,8.1717,0.0081249,p0254
9.2178,7.9001,4.0821,0.00080064,p0255
6.9015,8.0126,2.7212,0.0011618,p0256
6.693,7.3126,8.2855,0.0028917,p0257
7.7204,5.447,3.7761,0.00059287,p0258
2.3819,9.7553,8.4523,0.001421,p0259
6.918,8.8093,3.3793,0.0025962,p0260
4.6624,4.1397,5.0766,0.0097053,p0261
0.92609,6.0892,0.07192,0.0032377,p0262
0.73452,2.4518,0.047381,0.0039329,p0263
4.1952,9.1119,7.7848,0.0014452,p0264
2.2137,8.0844,2.7553,0.00052247,p0265
1.4666,1.6138,8.5362,0.0020082,p0266
7.0239,0.77339,3.8817,0.0096049,p0267
3.1112,0.57875,5.4055,0.0045035,p0268
1.3579,5.2571,6.7419,0.0044668,p0269
5.4085,9.8446,5.1234,0.0091418,p0270
2.4997,1.1988,5.1857,0.0059991,p0271
7.4776,6.2987,2.6094,0.0096214,p0272
7.4112,3.8743,2.7018,0.0093013,p0273
8.6662,2.0559,1.9028,0.0038609,p0274
6.8654,0.23762,2.3617,0.0051996,p0275
7.2506,3.3362,7.3683,0.0066102,p0276
3.898,7.1706,6.1651,0.0092226,p0277
1.3787,3.3524,6.2848,0.0039992,p0278
3.326,5.4742,4.2996,0.0090353,p0279
3.4684,6.597,7.4345,0.0028725,p0280
2.002,6.2368,7.1986,0.001828,p0281
3.1292,7.8806,7.4753,0.0033712,p0282
3.7095,5.3707,9.7551,0.0050154,p0283
9.7223,2.6788,3.0865,0.0094462,p0284
5.5536,8.8908,1.1928,0.0019645,p0285
3.6934,3.218,9.0312,0.007985,p0286
0.065293,1.1188,9.3078,0.0085937,p0287
2.321,2.6653,2.8092,0.0055696,p0288
0.1018,1.3911,6.414,0.0030336,p0289
6.4344,2.2404,0.092491,0.0079415,p0290
9.0617,0.52853,7.0703,0.0067311,p0291
2.9845,0.31516,3.0179,0.0093748,p0292
5.9548,7.3479,9.293,0.0048134,p0293
4.3654,7.9341,7.1766,0.0070548,p0294
2.5421,0.030095,9.3263,0.0052289,p0295
8.1835,8.6545,3.0335,0.0093958,p0296
9.9904,9.1941,4.9564,0.0095776,p0297
7.0154,6.0677,9.0453,0.0040802,p0298
8.6306,2.3648,4.8033,0.006182,p0299
1.042,4.8891,3.9024,0.0051664,p0300
6.0715,5.4426,7.1286,0.005633,p0301
8.4585,6.9626,8.4115,0.00446,p0302
1.1685,2.9755,8.5195,0.0097872,p0303
4.4427,9.911,3.6821,0.0045321,p0304
0.55446,0.81889,0.70931,0.0039768,p0305
0.34539,9.4945,6.4881,0.009754,p0306
7.4866,5.2407,2.4675,0.0034994,p0307
9.0342,2.5584,9.3854,0.0033442,p0308
1.7876,0.092501,5.3148,0.0032744,p0309
4.8479,7.8024,5.9937,0.0084284,p0310
0.5384,8.1169,9.5002,0.0094287,p0311
0.19128,6.534,4.3623,0.0064092,p0312
9.058,8.5245,6.6389,0.0021343,p0313
2.094,9.5027,3.2847,0.0046456,p0314
5.7688,5.667,3.5667,0.0047805,p0315
9.9242,1.3016,4.6224,0.0075624,p0316
0.28917,8.503,1.7952,0.0088369,p0317
1.5195,6.9675,3.4988,0.0072518,p0318
6.7662,3.539,8.0897,0.0077285,p0319
5.9216,3.758,5.1648,0.009195,p0320
7.3183,0.88769,2.5937,0.0036932,p0321
9.8815,5.1661,1.9251,0.0028004,p0322
5.5364,9.4447,2.0922,0.0066912,p0323
3.0852,6.6806,3.2296,0.0053166,p0324
7.8602,4.4128,9.6145,0.0099235,p0325
0.3926,1.0563,2.4955,0.0034352,p0326
0.29241,2.6189,5.8464,5.0387e-05,p0327
9.2473,1.7979,7.9116,0.0030094,p0328
0.51668,2.0359,2.4137,0.0087292,p0329
8.6944,1.71,2.5687,0.0073874,p0330
3.7273,4.8803,9.1962,0.0094948,p0331
1.0171,5.8888,5.5813,0.0067211,p0332
2.0498,3.1675,1.7813,0.0013547,p0333
5.6504,2.0966,6.9914,0.0063998,p0334
7.6508,9.7661,5.3999,0.005591,p0335
5.2653,4.0096,1.4719,0.00026643,p0336
5.7437,8.7214,4.5283,0.0082383,p0337
8.8547,0.084247,0.16623,0.0078508,p0338
2.5792,9.3869,1.6573,0.0054031,p0339
2.9981,6.512,4.3452,0.002364,p0340
6.6696,5.8175,5.4949,0.0049806,p0341
2.1984,1.9669,7.5856,0.0084821,p0342
4.0068,4.583,3.7966,0.00057375,p0343
6.2143,0.14754,4.8625,0.0032617,p0344
2.0086,6.1669,9.7855,0.0038886,p0345
6.1773,8.4727,3.3642,0.0007573,p0346
4.4676,1.9099,4.6734,0.0050396,p0347
7.8894,0.12588,3.5135,0.0025469,p0348
4.0011,7.6018,8.3904,0.0044009,p0349
7.4331,1.4234,2.9759,0.00013625,p0350
1.2311,4.6091,2.1391,0.0023893,p0351
6.4727,5.5877,6.662,0.0092632,p0352
0.31966,6.7949,4.4949,0.0095109,p0353
6.799,9.5645,0.41895,0.0074085,p0354
3.5357,2.1801,5.0508,0.0012594,p0355
1.2796,2.7078,7.347,0.0019239,p0356
7.6224,7.4118,1.1727,0.0057351,p0357
0.25467,0.66543,1.2124,0.001246,p0358
7.8713,8.054,9.9949,0.0058534,p0359
7.6123,0.9369,9.1236,0.0070046,p0360
6.252,1.6873,1.5998,0.0043449,p0361
5.4818,3.8919,2.0483,0.009249,p0362
2.3557,5.41,4.5171,0.0081501,p0363
1.8576,2.1184,3.7015,0.0046822,p0364
3.2533,0.55207,7.7771,0.0043193,p0365
4.8997,8.7422,0.61428,0.0025831,p0366
3.5469,5.8763,5.4583,9.0034e-05,p0367
4.4556,9.4086,5.6777,0.0089376,p0368
9.5954,2.8762,3.1033,0.0086041,p0369
8.9968,9.0735,6.8481,0.0028238,p0370
0.12627,9.1619,7.2988,0.0042649,p0371
1.7168,3.9679,8.3571,0.0077705,p0372
5.0602,3.2,1.1491,0.0036323,p0373
8.9779,8.4913,8.3272,0.007332,p0374
7.7731,8.4538,9.4031,0.005265,p0375
0.72157,6.0436,1.311,0.0026444,p0376
2.8564,6.6173,6.5951,0.0069114,p0377
3.9658,4.376,5.5451,0.00072441,p0378
9.1124,7.6785,8.4946,0.0060083,p0379
3.8854,8.9843,1.1409,0.0024289,p0380
5.9331,9.4274,3.7507,0.0063304,p0381
0.08092,0.3359,6.7685,0.0057705,p0382
5.0294,3.1303,3.4237,0.0088567,p0383
3.9336,3.7987,3.126,0.0041423,p0384
7.0727,9.4657,4.3067,0.0053573,p0385
7.0913,4.9399,5.0977,0.0027467,p0386
3.054,2.8425,2.9941,0.0091275,p0387
8.8089,9.0853,0.99066,0.0074492,p0388
2.4666,0.49073,4.3924,0.00040107,p0389
3.0391,0.78936,3.8304,0.0061437,p0390
5.1899,1.5843,8.8854,0.00074202,p0391
9.5018,2.4095,1.7012,0.00056779,p0392
2.8175,1.101,3.2221,0.007279,p0393
4.4204,3.8616,0.73876,0.0035815,p0394
6.2304,7.3893,8.724,0.0026232,p0395
1.62,8.6078,9.5927,0.0064671,p0396
8.8665,7.1308,8.0375,0.0057533,p0397
3.6346,8.3714,6.5213,0.0042101,p0398
1.5692,6.1485,6.539,0.004113,p0399
9.146,5.776,7.7076,3.4659e-05,p0400
9.561,9.0323,1.3742,0.0051395,p0401
8.048,8.2934,6.9527,0.0048395,p0402
6.6262,5.7217,8.4281,0.0023117,p0403
2.9387,5.739,6.1605,0.0033227,p0404
9.6123,7.8616,5.6378,0.0068803,p0405
3.7964,0.25571,4.818,0.0012039,p0406
3.7533,5.9313,5.0125,0.0060728,p0407
5.0909,0.36952,1.0917,0.0045666,p0408
9.3357,8.8002,2.7784,0.0034003,p0409
2.5145,1.8341,1.1225,0.0071585,p0410
1.2915,8.8714,7.2093,0.0069459,p0411
6.101,6.7459,7.9369,0.001013,p0412
9.9146,5.9839,9.0117,0.0038167,p0413
2.911,0.89268,4.438,0.0037724,p0414
2.2614,0.48034,0.40381,0.0058914,p0415
9.2676,6.2799,8.8356,0.0058066,p0416
6.1357,9.3591,9.1162,0.0076261,p0417
8.0685,4.6902,7.7614,0.0020372,p0418
2.6152,0.83548,4.1873,0.0017025,p0419
7.9437,6.8683,7.63,0.00047772,p0420
4.3798,1.9411,6.9672,0.00041889,p0421
0.93388,7.945,7.6219,0.0056994,p0422
4.2194,1.8662,6.7126,0.002527,p0423
2.3415,4.2313,2.4702,0.0032158,p0424
4.6728,3.2355,5.2334,0.0077841,p0425
5.5758,8.1536,6.815,0.0067574,p0426
3.4505,5.5654,9.2529,0.0029465,p0427
6.5042,6.9833,2.3251,0.0081919,p0428
1.9641,5.1033,4.6637,0.0033044,p0429
8.7851,9.9907,4.0426,0.0098378,p0430
3.0909,1.526,9.2026,0.001864,p0431
4.2475,5.0637,2.5431,0.0019347,p0432
3.3066,5.5283,8.2689,0.00092833,p0433
0.62397,3.4417,3.2537,0.0062467,p0434
2.1816,4.0347,2.3926,0.0038268,p0435
1.8747,1.2837,1.5477,0.0082906,p0436
9.6375,4.0533,8.0569,0.0011039,p0437
7.5578,4.5527,4.1332,0.0069247,p0438
1.9242,0.63212,2.9453,0.0054291,p0439
8.3441,3.8344,6.4398,0.0084494,p0440
6.3164,7.922,2.014,0.0025582,p0441
0.78464,4.9885,8.6397,0.0010077,p0442
8.6424,9.8112,1.2672,0.00033901,p0443
9.8429,1.893,3.9093,0.00015294,p0444
3.7844,4.3891,8.8107,0.0043744,p0445
4.1385,9.2347,1.6724,0.0031093,p0446
2.0734,7.6556,4.5683,0.0098901,p0447
0.38091,0.85655,9.2635,0.0080639,p0448
3.3564,5.3092,8.3187,0.0014701,p0449
2.2736,8.3448,7.2502,0.0082485,p0450
7.9141,0.16249,0.96303,0.0093574,p0451
2.8905,9.0534,2.4437,0.0023414,p0452
5.8381,5.1213,3.404,0.008768,p0453
0.23605,1.0414,6.1363,0.00021891,p0454
8.433,5.3376,0.65332,0.0070389,p0455
5.3832,2.3096,4.9939,0.00084215,p0456
3.9776,4.1911,9.6352,0.0031277,p0457
5.2356,4.8154,2.7277,0.009868,p0458
0.022996,9.3287,0.51063,0.0047555,p0459
9.7811,4.9837,4.6444,0.0076639,p0460
7.1918,3.7364,8.1828,0.00067299,p0461
8.9061,0.17681,9.8976,0.0033577,p0462
4.1695,0.74372,1.307,0.0090072,p0463
0.44559,8.4364,8.6503,0.0029571,p0464
4.7862,5.2874,4.011,0.0060587,p0465
2.548,3.9983,6.0093,0.0035889,p0466
1.7956,8.5968,1.6242,0.00065176,p0467
7.9417,9.2826,5.2092,0.0037201,p0468
7.5072,6.2011,8.5506,0.0062978,p0469
7.3834,0.67325,4.1761,0.0020617,p0470
1.4486,0.99451,9.7234,0.0027473,p0471
4.0561,5.9155,7.5493,0.0037612,p0472
2.8299,6.4432,2.8919,0.0054662,p0473
5.2953,2.4038,8.7944,0.0076574,p0474
1.4735,5.612,4.7436,0.0052124,p0475
8.2316,1.4793,1.8763,0.0038859,p0476
4.1252,2.5838,5.1361,0.0096974,p0477
1.3946,2.1629,7.5345,8.8319e-05,p0478
9.5259,2.4747,3.53,0.0032019,p0479
5.0721,7.683,5.604,0.001647,p0480
0.64135,1.2358,4.2066,0.0067853,p0481
9.4802,1.66,1.8115,0.0061141,p0482
1.647,2.8623,7.8347,0.0012825,p0483
6.9241,8.4108,2.3782,0.0087009,p0484
9.3587,6.2458,1.8677,0.0084174,p0485
5.1833,3.6804,8.7474,0.0031735,p0486
1.6024,4.2768,0.43647,0.0082088,p0487
6.7113,9.9643,4.6868,0.0044391,p0488
1.5469,7.2036,0.3093,0.0017374,p0489
5.1633,5.7967,4.5649,0.0045228,p0490
8.0043,6.8425,9.5669,0.0054086,p0491
0.8571,4.5428,6.0937,0.0040502,p0492
7.3805,1.8163,7.0034,0.00086027,p0493
6.761,9.7993,5.3016,0.007829,p0494
1.9684,9.6428,1.5091,0.00038821,p0495
0.13954,0.27011,1.0722,0.0071424,p0496
9.6432,5.8629,8.1275,0.0071659,p0497
2.715,8.1382,8.9318,0.0085705,p0498
9.8004,8.2122,9.4534,0.0088211,p0499
4.9346,8.2617,4.8782,0.005871,p0500
